audio_path,audio_filename,subtitle,text_for_tts,reason
\voice\conditions\track_temp_decreasing_its_now,2.wav,"la temperatura della pista cala, adesso e'","la temperatura della pista cala, adesso e'",traduzione_mista
\voice\conditions\track_temp_decreasing_its_now,3.wav,"la temperatura della pista scende, adesso e'","la temperatura della pista scende, adesso e'",traduzione_mista
\voice\conditions\track_temp_increasing_its_now,1.wav,"la temperatura della pista sale, adesso e'","la temperatura della pista sale, adesso e'",traduzione_mista
\voice\conditions\track_temp_increasing_its_now,2.wav,"la temperatura della pista aumenta, adesso e'","la temperatura della pista aumenta, adesso e'",traduzione_mista
\voice\corners\the_left_right_before_the_mountain,27.wav,La sinistra-destra prima della Montagna,La sinistra-destra prima della Montagna,traduzione_mista
\voice\corners\the_left_right_before_the_mountain,28.wav,La sinistra-destra prima della Montagna,La sinistra-destra prima della Montagna,traduzione_mista
\voice\corners\the_right_hander_before_charlies,13.wav,La destra prima di Charlies,La destra prima di Charlies,traduzione_mista
\voice\corners\the_right_hander_before_charlies,14.wav,La destra prima di Charlies,La destra prima di Charlies,traduzione_mista
\voice\corners\the_right_left_after_mansfield,25.wav,La destra-sinistra dopo Mansfield,La destra-sinistra dopo Mansfield,traduzione_mista
\voice\corners\the_right_left_after_mansfield,26.wav,La destra-sinistra dopo Mansfield,La destra-sinistra dopo Mansfield,traduzione_mista
\voice\damage_reporting\minor_aero_damage,7.wav,danno aerodinamico minore,danno aerodinamico minore,traduzione_mista
\voice\damage_reporting\minor_aero_damage,8.wav,stiamo vedendo danno aerodinamico minore,stiamo vedendo danno aerodinamico minore,traduzione_mista
\voice\damage_reporting\minor_aero_damage_general,7.wav,danno aerodinamico minore,danno aerodinamico minore,traduzione_mista
\voice\damage_reporting\minor_aero_damage_general,8.wav,stiamo vedendo danno aerodinamico minore,stiamo vedendo danno aerodinamico minore,traduzione_mista
\voice\damage_reporting\minor_suspension_damage,5.wav,stiamo vedendo un danno minore alle sospensioni,stiamo vedendo un danno minore alle sospensioni,traduzione_mista
\voice\damage_reporting\minor_suspension_damage,9.wav,hai un danno minore alle sospensioni,hai un danno minore alle sospensioni,traduzione_mista
\voice\damage_reporting\minor_suspension_damage_general,5.wav,stiamo vedendo un danno minore alle sospensioni,stiamo vedendo un danno minore alle sospensioni,traduzione_mista
\voice\damage_reporting\minor_suspension_damage_general,9.wav,hai un danno minore alle sospensioni,hai un danno minore alle sospensioni,traduzione_mista
\voice\damage_reporting\no_suspension_damage,1.wav,la tua sospensione sembra a posto,la tua sospensione sembra a posto,traduzione_mista
\voice\damage_reporting\severe_suspension_damage,1.wav,hai un danno serio alle sospensioni,hai un danno serio alle sospensioni,traduzione_mista
\voice\damage_reporting\severe_suspension_damage,2.wav,la tua sospensione sembra messa piuttosto male,la tua sospensione sembra messa piuttosto male,traduzione_mista
\voice\driver_swaps\pit_now_for_driver_change,2.wav,"cambio pilota, ai box adesso","cambio pilota, ai box adesso",traduzione_mista
\voice\flags\fc_yellow_pits_closed,1.wav,"siamo in regime di neutralizzazione, box chiusi","siamo in regime di neutralizzazione, box chiusi",traduzione_mista
\voice\flags\fc_yellow_pits_closed_usa,3.wav,"siamo in regime di neutralizzazione, box chiusi","siamo in regime di neutralizzazione, box chiusi",traduzione_mista
\voice\flags\fc_yellow_prepare_for_green,3_op_prefix_ok.wav,"preparati, si riparte","preparati, si riparte",traduzione_mista
\voice\flags\fc_yellow_prepare_for_green_eu,3_op_prefix_ok.wav,"preparati, si riparte","preparati, si riparte",traduzione_mista
\voice\flags\fc_yellow_prepare_for_green_usa,3_op_prefix_ok.wav,"preparati, si riparte","preparati, si riparte",traduzione_mista
\voice\flags\fc_yellow_start,3.wav,"safety car in pista, gara neutralizzata","safety car in pista, gara neutralizzata",traduzione_mista
\voice\flags\fc_yellow_start,6.wav,"safety car in pista, gara neutralizzata","safety car in pista, gara neutralizzata",traduzione_mista
\voice\flags\fc_yellow_start_eu,7.wav,"safety car in pista, gialla su tutto il circuito","safety car in pista, gialla su tutto il circuito",traduzione_mista
\voice\flags\fc_yellow_start_usa,1.wav,"pace car in pista, gara neutralizzata","pace car in pista, gara neutralizzata",traduzione_mista
\voice\flags\fc_yellow_start_usa_no_safetycar,1.wav,"neutralizzazione totale, stai attento","neutralizzazione totale, stai attento",traduzione_mista
\voice\flags\fc_yellow_start_usa_no_safetycar,2.wav,"neutralizzazione totale, attenzione","neutralizzazione totale, attenzione",traduzione_mista
\voice\flags\fc_yellow_start_usa_no_safetycar,3.wav,"stai attento, abbiamo una neutralizzazione totale","stai attento, abbiamo una neutralizzazione totale",traduzione_mista
\voice\flags\fc_yellow_start_usa_no_safetycar,4.wav,neutralizzazione totale,neutralizzazione totale,traduzione_mista
\voice\flags\give_positions_back_completed,1.wav,"ok, siamo a posto adesso","ok, siamo a posto adesso",traduzione_mista
\voice\flags\give_positions_back_completed,3.wav,"ok, abbastanza","ok, abbastanza",traduzione_mista
\voice\flags\green_flag_sector_1,1.wav,"bandiera verde, settore 1",bandiera verde settore uno,traduzione_mista
\voice\flags\green_flag_sector_1,2.wav,"bandiera verde, settore 1",bandiera verde settore uno,traduzione_mista
\voice\flags\green_flag_sector_1,4.wav,"bandiera verde, settore 1",bandiera verde settore uno,traduzione_mista
\voice\flags\green_flag_sector_1,5.wav,"bandiera verde, settore 1",bandiera verde settore uno,traduzione_mista
\voice\flags\green_flag_sector_1,6.wav,"bandiera verde, settore 1",bandiera verde settore uno,traduzione_mista
\voice\flags\green_flag_sector_1,7.wav,"bandiera verde, settore 1",bandiera verde settore uno,traduzione_mista
\voice\flags\green_flag_sector_1,8.wav,"bandiera verde, settore 1",bandiera verde settore uno,traduzione_mista
\voice\flags\slow_car_ahead,1.wav,macchina lenta davanti,macchina lenta davanti,traduzione_mista
\voice\flags\slow_car_ahead,2.wav,hai a macchina lenta davanti,hai a macchina lenta davanti,traduzione_mista
\voice\flags\slow_car_ahead,3.wav,macchina lenta davanti,macchina lenta davanti,traduzione_mista
\voice\flags\slow_car_ahead,5.wav,macchina lenta davanti,macchina lenta davanti,traduzione_mista
\voice\flags\slow_car_ahead_stay_high,1.wav,"macchina lenta davanti, resta alta","macchina lenta davanti, resta alta",traduzione_mista
\voice\flags\slow_car_ahead_stay_high,3.wav,"macchina lenta davanti, resta alta","macchina lenta davanti, resta alta",traduzione_mista
\voice\flags\white_flag,3.wav,"bandiera bianca,","bandiera bianca,",traduzione_mista
\voice\flags\yellow_flag_sector_1,1.wav,"bandiera gialla, settore 1","bandiera gialla, settore 1",traduzione_mista
\voice\flags\yellow_flag_sector_2,2.wav,"bandiera gialla, settore 2","bandiera gialla, settore 2",traduzione_mista
\voice\flags\yellow_flag_sector_3,1.wav,"bandiera gialla, settore 3","bandiera gialla, settore 3",traduzione_mista
\voice\frozen_order\thats_a_rolling_start,1.wav,"ok, partenza lanciata","ok, partenza lanciata",traduzione_mista
\voice\frozen_order\thats_a_standing_start,5.wav,"ok, partenza da fermo","ok, partenza da fermo",traduzione_mista
\voice\fuel\five_minutes_fuel,1_op_prefix_ok.wav,"5 minuti di carburante rimasti, 5 minuti","5 minuti di carburante rimasti, 5 minuti",traduzione_mista
\voice\fuel\half_distance_good_fuel,1_op_prefix_ok.wav,"metà distanza, sembra buono per il carburante","metà distanza, sembra buono per il carburante",traduzione_mista
\voice\fuel\half_distance_low_fuel,1.wav,"meta' distanza, dovremo risparmiare carburante","meta' distanza, dovremo risparmiare carburante",traduzione_mista
\voice\fuel\half_distance_low_fuel,3.wav,"meta' distanza, dovrai risparmiare carburante","meta' distanza, dovrai risparmiare carburante",traduzione_mista
\voice\fuel\half_tank_warning,2.wav,"metà carburante, hai usato metà del tuo carburante","metà carburante, hai usato metà del tuo carburante",traduzione_mista
\voice\fuel\two_laps_fuel,2.wav,2 giri di carburante rimasti,2 giri di carburante rimasti,traduzione_mista
\voice\fuel\two_minutes_fuel,1.wav,hai 2 minuti di carburante rimasti,hai 2 minuti di carburante rimasti,traduzione_mista
\voice\lap_counter\finished_race_good_finish,1.wav,"ok, è finita, ben fatto, buon risultato","ok, è finita, ben fatto, buon risultato",traduzione_mista
\voice\lap_counter\finished_race_good_finish,2.wav,"ok, è il traguardo, ben fatto","ok, è il traguardo, ben fatto",traduzione_mista
\voice\lap_counter\finished_race_good_finish,3.wav,"ok, e' over, bella guida","ok, e' over, bella guida",traduzione_mista
\voice\lap_counter\finished_race_good_finish,4.wav,"ben fatto, buon risultato","ben fatto, buon risultato",traduzione_mista
\voice\lap_counter\finished_race_good_finish,5.wav,"ecco il traguardo, bella guida","ecco il traguardo, bella guida",traduzione_mista
\voice\lap_counter\finished_race_good_finish,6.wav,"ed ecco il traguardo, buon risultato, ben fatto","ed ecco il traguardo, buon risultato, ben fatto",traduzione_mista
\voice\lap_counter\finished_race_good_finish,8.wav,"ok è la fine, buon risultato, ben fatto","ok è la fine, buon risultato, ben fatto",traduzione_mista
\voice\lap_counter\get_ready,11.wav,"preparati, è il momento di spingere","preparati, è il momento di spingere",traduzione_mista
\voice\lap_counter\get_ready,33.wav,"attenzione, si riparte","attenzione, si riparte",traduzione_mista
\voice\lap_counter\last_lap_leading,3.wav,"ancora un giro, primo","ancora un giro, primo",traduzione_mista
\voice\lap_counter\manual_formation_lap_mode_disabled,1.wav,"ricevuto, niente giro di formazione","ricevuto, niente giro di formazione",traduzione_mista
\voice\lap_counter\manual_formation_lap_mode_disabled,3.wav,"ricevuto, niente giro di formazione","ricevuto, niente giro di formazione",traduzione_mista
\voice\lap_counter\manual_formation_lap_mode_enabled,2.wav,"capito, giro di formazione manuale","capito, giro di formazione manuale",traduzione_mista
\voice\lap_counter\manual_formation_lap_mode_enabled,3.wav,"ok, partenza lanciata","ok, partenza lanciata",traduzione_mista
\voice\lap_counter\podium_finish,3_op_prefix_well_done.wav,"ottima guida, un podio","ottima guida, un podio",traduzione_mista
\voice\lap_counter\two_to_go,1.wav,due giri rimasti,due giri rimasti,traduzione_mista
\voice\lap_counter\two_to_go,3.wav,two giri rimasti,two giri rimasti,traduzione_mista
\voice\lap_counter\two_to_go_leading,2_op_prefix_come_on.wav,"due giri rimasti, primo","due giri rimasti, primo",traduzione_mista
\voice\lap_counter\white_flag_last_lap,3.wav,"bandiera bianca, ultimo giro","bandiera bianca, ultimo giro",traduzione_mista
\voice\lap_counter\won_race,2.wav,"ben fatto, perfetto, ottima vittoria","ben fatto, perfetto, ottima vittoria",traduzione_mista
\voice\lap_counter\won_race,4.wav,"una vittoria, ottimo lavoro, ben fatto","una vittoria, ottimo lavoro, ben fatto",traduzione_mista
\voice\lap_counter\won_race,sweary_7.wav,"risultato pazzesco, ben fatto","risultato pazzesco, ben fatto",traduzione_mista
\voice\lap_times\good_lap,3.wav,bel giro,bel giro,traduzione_mista
\voice\lap_times\personal_best,1.wav,il tuo giro più veloce oggi,il tuo giro più veloce oggi,traduzione_mista
\voice\lap_times\personal_best,10.wav,"buon giro, il tuo più veloce finora","buon giro, il tuo più veloce finora",traduzione_mista
\voice\lap_times\personal_best,3.wav,"buon giro, il tuo più veloce oggi","buon giro, il tuo più veloce oggi",traduzione_mista
\voice\lap_times\personal_best,4.wav,il tuo il piu' veloce giro,il tuo il piu' veloce giro,traduzione_mista
\voice\lap_times\personal_best,5.wav,il tuo il piu' veloce giro,il tuo il piu' veloce giro,traduzione_mista
\voice\lap_times\setting_current_race_pace,3.wav,siamo i più veloci adesso,siamo i più veloci adesso,traduzione_mista
\voice\mandatory_pit_stops\can_now_fit_options,4.wav,puoi adesso passare alle opzioni,puoi adesso passare alle opzioni,traduzione_mista
\voice\mandatory_pit_stops\can_now_fit_primes,1.wav,puoi adesso passare alle prime,puoi adesso passare alle prime,traduzione_mista
\voice\mandatory_pit_stops\will_change_front_tyres_only,1.wav,stiamo cambiando il tuo gomme anteriori solo,stiamo cambiando il tuo gomme anteriori solo,traduzione_mista
\voice\multiclass\faster_car_behind_racing_player,3.wav,"macchina veloce in arrivo, in lotta con noi, niente bandiere blu","macchina veloce in arrivo, in lotta con noi, niente bandiere blu",traduzione_mista
\voice\multiclass\faster_cars_fighting_behind_inc_class_leader,4.wav,"macchine veloci in arrivo, in lotta per posizione col leader di classe","macchine veloci in arrivo, in lotta per posizione col leader di classe",traduzione_mista
\voice\multiclass\slower_car_ahead,1.wav,macchina di classe più lenta davanti,macchina di classe più lenta davanti,traduzione_mista
\voice\multiclass\slower_car_ahead,3.wav,macchina di classe più lenta davanti,macchina di classe più lenta davanti,traduzione_mista
\voice\multiclass\slower_car_ahead,6.wav,macchina di classe più lenta davanti,macchina di classe più lenta davanti,traduzione_mista
\voice\multiclass\slower_car_ahead_is_class_leader,3_male.wav,"macchina lenta davanti, e' il leader di classe","macchina lenta davanti, e' il leader di classe",traduzione_mista
\voice\multiclass\slower_cars_ahead_fighting,1_op_prefix_ok.wav,"in arrivo macchine lente, in lotta per posizione","in arrivo macchine lente, in lotta per posizione",traduzione_mista
\voice\opponents\slow_car_ahead,1.wav,hai a macchina lenta davanti,hai a macchina lenta davanti,traduzione_mista
\voice\opponents\slow_car_ahead,3.wav,hai a macchina lenta davanti,hai a macchina lenta davanti,traduzione_mista
\voice\pace_notes\recording_started,1.wav,"ok, stiamo registrando le note di passo","ok, stiamo registrando le note di passo",traduzione_mista
\voice\pearls_of_wisdom\must_do_better,19.wav,"ritmo da qualifica ogni giro, ci sono ancora possibilita'","ritmo da qualifica ogni giro, ci sono possibilita",traduzione_mista
\voice\pearls_of_wisdom\must_do_better,27.wav,"ritmo da qualifica, dai puoi salvare qualcosa","ritmo da qualifica, dai puoi salvare qualcosa",traduzione_mista
\voice\penalties\cut_track_in_prac_or_qual_next_invalid,3.wav,"hai tagliato la pista, cancelleranno questo giro e il prossimo","hai tagliato la pista, cancelleranno questo giro e il prossimo",traduzione_mista
\voice\penalties\penalty_served,3.wav,hai scontata il tuo penalita',hai scontata il tuo penalita',traduzione_mista
\voice\penalties\warning_enter_pits_to_avoid_exceeding_laps,3.wav,"giri esauriti, ai box questo giro","giri esauriti, ai box questo giro",traduzione_mista
\voice\position\good_start,1.wav,"buona partenza, , nice one","buona partenza, , nice one",traduzione_mista
\voice\position\good_start,13.wav,"ottimo start, ben fatto","ottimo start, ben fatto",traduzione_mista
\voice\position\good_start,2.wav,"bella partenza, ben fatto","bella partenza, ben fatto",traduzione_mista
\voice\position\good_start,3_op_prefix_well_done.wav,buona partenza,buona partenza,traduzione_mista
\voice\position\good_start,4_op_suffix_well_done.wav,buona partenza,buona partenza,traduzione_mista
\voice\position\good_start,5.wav,"buona partenza,","buona partenza,",traduzione_mista
\voice\position\ok_start,5_op_suffix_come_on.wav,"ok, troviamo un buon ritmo, guadagniamo posizioni","ok, troviamo un buon ritmo, guadagniamo posizioni",traduzione_mista
\voice\position\overtaking,1.wav,"bel sorpasso, ben fatto","bel sorpasso, ben fatto",traduzione_mista
\voice\position\overtaking,24.wav,bel sorpasso,bel sorpasso,traduzione_mista
\voice\position\overtaking,26.wav,"bel sorpasso, adesso continua a spingere","bel sorpasso, adesso continua a spingere",traduzione_mista
\voice\position\overtaking,5_op_prefix_well_done.wav,"bel sorpasso, eyes front","bel sorpasso, eyes front",traduzione_mista
\voice\position\overtaking,6.wav,"ben fatto, bel sorpasso","ben fatto, bel sorpasso",traduzione_mista
\voice\position\overtaking,sweary_10.wav,"bel sorpasso, , that was fucking brilliant","bel sorpasso, , that was fucking brilliant",traduzione_mista
\voice\position\overtaking,sweary_11.wav,"bel sorpasso, , fucking awesome","bel sorpasso, , fucking awesome",traduzione_mista
\voice\position\overtaking,sweary_7.wav,"fucking ottimo pass, , ben fatto","fucking ottimo pass, , ben fatto",traduzione_mista
\voice\race_time\laps_remaining,3.wav,giri rimasti,giri rimasti,traduzione_mista
\voice\race_time\twenty_minutes_left,2.wav,"20 minuti rimasti, hai 20 minuti left","20 minuti rimasti, hai 20 minuti left",traduzione_mista
\voice\strategy\will_calculate_time_loss_from_next_lap,1.wav,calcola la perdita tempo dal prossimo giro veloce,calcola la perdita tempo dal prossimo giro veloce,traduzione_mista
\voice\timings\ahead_is_increasing,1.wav,"davanti sta salendo, adesso e'","davanti sta salendo, adesso e",traduzione_mista
\voice\timings\ahead_is_increasing,2.wav,"davanti sta salendo, adesso e'","davanti sta salendo, adesso e",traduzione_mista
\voice\timings\ahead_is_increasing,3.wav,"davanti sta salendo, adesso e'","davanti sta salendo, adesso e",traduzione_mista
\voice\timings\behind_is_increasing,1.wav,"dietro sta salendo, adesso e'","dietro sta salendo, adesso e'",traduzione_mista
\voice\timings\behind_is_increasing,2.wav,"dietro sta salendo, adesso e'","dietro sta salendo, adesso e'",traduzione_mista
\voice\timings\behind_is_increasing,3.wav,"dietro sta salendo, adesso e'","dietro sta salendo, adesso e'",traduzione_mista
\voice\timings\being_held_up,16.wav,"non aspettare troppo, trova quel distacco","non aspettare troppo, trova quel distacco",traduzione_mista
\voice\timings\being_pressured,13.wav,"non be distracted, defend il tuo posizione","non be distracted, defend il tuo posizione",traduzione_mista
\voice\timings\gap_behind_increasing,2_male.wav,"pulling away da quello dietro, il distacco's now","pulling away da quello dietro, il distacco's now",traduzione_mista
\voice\timings\gap_in_front_increasing,2.wav,"il distacco davanti e' aumentato, adesso e' circa","il distacco davanti e' aumentato, adesso e' circa",traduzione_mista
\voice\timings\is_reeling_you_in,10.wav,"sta chiudendo il distacco, adesso e'","sta chiudendo il distacco, adesso e'",traduzione_mista
\voice\timings\is_reeling_you_in,11.wav,"si sta avvicinando, il distacco adesso e'","si sta avvicinando, il distacco adesso e'",traduzione_mista
\voice\timings\is_reeling_you_in,8.wav,"si sta avvicinando, il distacco adesso e'","si sta avvicinando, il distacco adesso e'",traduzione_mista
\voice\timings\opponent_behind_has_bad_reputation,2_male.wav,"quello dietro e' pericoloso, fai attenzione","quello dietro e' pericoloso, fai attenzione",traduzione_mista
\voice\timings\opponent_behind_has_bad_reputation,7_male.wav,"quello dietro e' pericoloso, stai attento","quello dietro e' pericoloso, stai attento",traduzione_mista
\voice\timings\opponent_behind_has_below_average_reputation,7_male.wav,quello dietro non gareggia molto pulito,quello dietro non gareggia molto pulito,traduzione_mista
\voice\tyre_monitor\cooking_left_front_tyre,1.wav,stai cuocendo le tue gomma anteriore sinistra,stai cuocendo le tue gomma anteriore sinistra,traduzione_mista
\voice\tyre_monitor\cooking_left_rear_tyre,1.wav,stai cuocendo le tue gomma posteriore sinistra,stai cuocendo le tue gomma posteriore sinistra,traduzione_mista
\voice\tyre_monitor\cooking_left_rear_tyre,3.wav,la tua posteriore sinistra's stai surriscaldando,la tua posteriore sinistra's stai surriscaldando,traduzione_mista
\voice\tyre_monitor\cooking_rear_brakes,1.wav,"freni posteriori surriscaldati, sono bollenti","freni posteriori surriscaldati, sono bollenti",traduzione_mista
\voice\tyre_monitor\cooking_right_front_tyre,1.wav,stai cuocendo le tue gomma anteriore destra,stai cuocendo le tue gomma anteriore destra,traduzione_mista
\voice\tyre_monitor\cooking_right_rear_tyre,1.wav,stai cuocendo le tue gomma posteriore destra,stai cuocendo le tue gomma posteriore destra,traduzione_mista
\voice\tyre_monitor\damage_to_left_front_tyre,1.wav,hai danneggiato la tua gomma anteriore sinistra,hai danneggiato la tua gomma anteriore sinistra,traduzione_mista
\voice\tyre_monitor\damage_to_left_front_tyre,2.wav,hai danneggiato la tua gomma anteriore sinistra,hai danneggiato la tua gomma anteriore sinistra,traduzione_mista
\voice\tyre_monitor\damage_to_left_front_tyre,3.wav,hai danneggiato la tua gomma anteriore sinistra,hai danneggiato la tua gomma anteriore sinistra,traduzione_mista
\voice\tyre_monitor\damage_to_left_rear_tyre,1.wav,hai danneggiato la tua gomma posteriore sinistra,hai danneggiato la tua gomma posteriore sinistra,traduzione_mista
\voice\tyre_monitor\damage_to_left_rear_tyre,2.wav,hai danneggiato la tua gomma posteriore sinistra,hai danneggiato la tua gomma posteriore sinistra,traduzione_mista
\voice\tyre_monitor\damage_to_left_rear_tyre,3.wav,hai danneggiato la tua gomma posteriore sinistra,hai danneggiato la tua gomma posteriore sinistra,traduzione_mista
\voice\tyre_monitor\damage_to_right_front_tyre,1.wav,hai danneggiato la tua gomma anteriore destra,hai danneggiato la tua gomma anteriore destra,traduzione_mista
\voice\tyre_monitor\damage_to_right_front_tyre,2.wav,hai danneggiato la tua gomma anteriore destra,hai danneggiato la tua gomma anteriore destra,traduzione_mista
\voice\tyre_monitor\damage_to_right_front_tyre,3.wav,hai danneggiato la tua gomma anteriore destra,hai danneggiato la tua gomma anteriore destra,traduzione_mista
\voice\tyre_monitor\damage_to_right_rear_tyre,1.wav,hai danneggiato la tua gomma posteriore destra,hai danneggiato la tua gomma posteriore destra,traduzione_mista
\voice\tyre_monitor\damage_to_right_rear_tyre,2.wav,hai danneggiato la tua gomma posteriore destra,hai danneggiato la tua gomma posteriore destra,traduzione_mista
\voice\tyre_monitor\damage_to_right_rear_tyre,3.wav,hai danneggiato la tua gomma posteriore destra,hai danneggiato la tua gomma posteriore destra,traduzione_mista
\voice\tyre_monitor\good_wear,1.wav,il tuo gomma usura sembra a posto,il tuo gomma usura sembra a posto,traduzione_mista
\voice\tyre_monitor\good_wear_general,1.wav,il tuo gomma usura sembra a posto,il tuo gomma usura sembra a posto,traduzione_mista
\voice\tyre_monitor\knackered_all_round,1.wav,serviranno gomme nuove su tutte e quattro,serviranno gomme nuove su tutte e quattro,traduzione_mista
\voice\tyre_monitor\knackered_left_front,2.wav,la tua gomma anteriore sinistra sembra distrutta,la tua gomma anteriore sinistra sembra distrutta,traduzione_mista
\voice\tyre_monitor\knackered_right_front,2.wav,"that anteriore destra's gone,","that anteriore destra's gone,",traduzione_mista
\voice\tyre_monitor\knackered_right_rear,3.wav,la tua posteriore destra's completamente consumata,la tua posteriore destra's completamente consumata,traduzione_mista
\voice\tyre_monitor\left_front_pressure_very_high,1.wav,anteriore sinistra la pressione sembra alta,anteriore sinistra la pressione sembra alta,traduzione_mista
\voice\tyre_monitor\left_front_pressure_very_low,5.wav,anteriore sinistra la pressione sembra bassa,anteriore sinistra la pressione sembra bassa,traduzione_mista
\voice\tyre_monitor\locking_fronts_lap_warning,2.wav,locking il tuo front freni,locking il tuo front freni,traduzione_mista
\voice\tyre_monitor\locking_rears_lap_warning,2.wav,vediamo molti bloccaggi freno posteriore,vediamo molti bloccaggi freno posteriore,traduzione_mista
\voice\tyre_monitor\spinning_left_rear_corner_warning,3.wav,stiamo vedendo posteriore sinistra pattinamento in,stiamo vedendo posteriore sinistra pattinamento in,traduzione_mista
\voice\tyre_monitor\spinning_right_rear_lap_warning,2.wav,spinning il tuo rear right gomma,spinning il tuo rear right gomma,traduzione_mista
\voice\tyre_monitor\worn_right_rear,3.wav,"attenzione alla posteriore destra, sembra consumata","attenzione alla posteriore destra, sembra consumata",traduzione_mista
\personalisations\YOUR_NAME\prefixes_and_suffixes\well_done,3.wav,"bravo, your_name","bravo, your_name",traduzione_mista
\personalisations\YOUR_NAME\prefixes_and_suffixes\well_done,7.wav,"ottimo lavoro, your_name","ottimo lavoro, your_name",traduzione_mista
\personalisations\YOUR_NAME\prefixes_and_suffixes\well_done,8.wav,"bravo, your_name","bravo, your_name",traduzione_mista
\personalisations\YOUR_NAME\prefixes_and_suffixes\well_done,9.wav,"ottimo lavoro, your_name","ottimo lavoro, your_name",traduzione_mista
\composite_personalisation_stubs\well_done,1.wav,bravo,bravo,traduzione_mista
\composite_personalisation_stubs\well_done,2.wav,ottimo lavoro,ottimo lavoro,traduzione_mista
\voice\lmu\class_info,1.wav,"Hypercar davanti a te, fai attenzione","Hypercar davanti a te, fai attenzione",frase_mancante
\voice\lmu\class_info,2.wav,"LMDh in arrivo da dietro, lascia spazio","elleemmedieacca in arrivo da dietro, lascia spazio",frase_mancante
\voice\lmu\class_info,3.wav,"LMP2 davanti, ti sta per sdoppiare","elleemmepidue davanti, ti sta per sdoppiare",frase_mancante
\voice\lmu\class_info,4.wav,"LMGT3 più lenta davanti, preparati a doppiare","elleemmegititre lenta davanti, preparati a doppiare",frase_mancante
\voice\lmu\class_info,5.wav,"traffico di GT davanti, attenzione al doppiaggio","traffico di giTi davanti, attenzione al doppiaggio",frase_mancante
\voice\lmu\class_info,6.wav,"Hypercar in avvicinamento, lascia passare","Hypercar in avvicinamento, lascia passare",frase_mancante
\voice\lmu\class_info,7.wav,"gruppo di LMP2 davanti, cerca spazio pulito","elleemmepidue davanti, cerca spazio pulito",frase_mancante
\voice\lmu\class_info,8.wav,"macchina di un'altra classe in lotta, stai attento","macchina di un'altra classe in lotta, stai attento",frase_mancante
\voice\lmu\endurance,1.wav,"gestisci le gomme, lo stint è lungo","gestisci le gomme, lo stint è lungo",frase_mancante
\voice\lmu\endurance,2.wav,prossimo cambio pilota tra due giri,prossimo cambio pilota tra due giri,frase_mancante
\voice\lmu\endurance,3.wav,"preparati al pit stop, cambio gomme e rifornimento","preparati al pit stop, cambio gomme e rifornimento",frase_mancante
\voice\lmu\endurance,4.wav,"stint lungo, conserva le gomme posteriori","stint lungo, conserva le gomme posteriori",frase_mancante
\voice\lmu\endurance,5.wav,"siamo a metà stint, le gomme reggono bene","siamo a metà stint, le gomme reggono bene",frase_mancante
\voice\lmu\endurance,6.wav,"finestra pit aperta, rientri al prossimo giro","finestra pit aperta, rientri al prossimo giro",frase_mancante
\voice\lmu\endurance,7.wav,"cambio pilota completato, stint pulito davanti","cambio pilota completato, stint pulito davanti",frase_mancante
\voice\lmu\endurance,8.wav,"doppio stint con queste gomme, gestiscile bene","doppio stint con queste gomme, gestiscile bene",frase_mancante
